,拥有保研资格的高校名单,,,,,,,,,
,北京市49所,,,,,广东省21所,,,,
,北京大学,清华大学,中国人民大学,北京交通大学,,中山大学,汕头大学,华南理工大学,华南农业大学,
,北京工业大学,北京航空航天大学,北京理工大学,北京科技大学,,暨南大学,广州中医药大学,华南师范大学,深圳大学,
,北方工业大学,北京化工大学,北京工商大学,北京邮电大学,,广州大学,广东工业大学,广东外语外贸大学,南方医科大学,
,中国农业大学,北京林业大学,北京协和医学院,首都医科大学,,广东海洋大学,五邑大学,南方科技大学,广州医科大学,
,北京中医药大学,北京师范大学,首都师范大学,北京外国语大学,,广东财经大学,广东药科大学,广州美术学院,佛山大学,
,北京语言大学,中国传媒大学,中央财经大学,对外经济贸易大学,,香港中文大学（深圳）,,,,
,首都经济贸易大学,外交学院,中国人民公安大学,国际关系学院,,湖北省19所,,,,
,北京体育大学,中央音乐学院,中国音乐学院,中央美术学院,,武汉大学,华中科技大学,武汉科技大学,长江大学,
,中央戏剧学院,北京电影学院,中央民族大学,中国政法大学,,中国地质大学(武汉),华中农业大学,武汉理工大学,华中师范大学,
,华北电力大学,中国矿业大学(北京）,中国石油大学(北京）,中国地质大学(北京),,中南财经政法大学,武汉体育学院,中南民族大学,湖北大学,
,北京信息科技大学,中国科学院大学,北京建筑大学,北京服装学院,,三峡大学,湖北工业大学,武汉工程大学,湖北中医药大学,
,中国社会科学院大学,北京电子科技学院,北京联合大学,北京物资学院,,武汉纺织大学,江汉大学,武汉轻工大学,,
,北京第二外国语学院,,,,,四川省18所,,,,
,江苏省28所,,,,,四川大学,西南交通大学,电子科技大学,西南石油大学,
,南京大学,东南大学,中国矿业大学,河海大学,,成都理工大学,西南科技大学,西华大学,四川农业大学,
,扬州大学,苏州大学,南京航空航天大学,南京理工大学,,成都中医药大学,四川师范大学,西华师范大学,西南医科大学,
,江苏科技大学,南京工业大学,南京邮电大学,江南大学,,西南财经大学,成都体育学院,西南民族大学,成都信息工程大学,
,南京林业大学,江苏大学,南京信息工程大学,南通大学,,成都大学,四川音乐学院,,,
,南京农业大学,南京医科大学,徐州医科大学,南京中医药大学,,黑龙江16所,,,,
,中国药科大学,南京师范大学,江苏师范大学,南京艺术学院,,哈尔滨工业大学,哈尔滨理工大学,哈尔滨工程大学,东北石油大学,
,南京体育学院,常州大学,南京财经大学,苏州科技大学,,黑龙江大学,黑龙江八一农垦大学,东北农业大学,东北林业大学,
,辽宁省28所,,,,,哈尔滨医科大学,黑龙江中医药大学,哈尔滨师范大学,哈尔滨商业大学,
,东北大学,大连理工大学,中国医科大学,辽宁大学,,佳木斯大学,黑龙江科技大学,齐齐哈尔大学,哈尔滨体育学院,
,东北财经大学,辽宁工程技术大学,大连交通大学,大连海事大学,,天津市15所,,,,
,大连工业大学,沈阳建筑大学,沈阳农业大学,大连医科大学,,天津大学,南开大学,天津工业大学,天津医科大学,
,辽宁中医药大学,沈阳工业大学,沈阳药科大学,辽宁师范大学,,天津中医药大学,天津师范大学,天津外国语大学,天津财经大学,
,沈阳师范大学,大连外国语学院,辽宁科技大学,鲁迅美术学院,,天津体育学院,天津理工大学,中国民航大学,天津商业大学,
,大连海洋大学,沈阳化工大学,渤海大学,沈阳航空航天大学,,天津科技大学,天津职业技术师范大学,天津美术学院,,
,辽宁石油化工大学,沈阳体育学院,沈阳音乐学院,大连大学,,浙江省15所,,,,
,上海市23所,,,,,浙江大学,浙江工业大学,浙江理工大学,温州医科大学,
