序号,城市,本科院校,ing,2025届,,24届保研去向,2024届,,2023届,,2022届,,2021届,,2020届,,,,,,
,,,,保研人数,保研率,,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,,,,,
1,重庆,重庆交通大学,重庆交通大学,261,4.47%,中国科学院大学、厦门大学、华南理工大学、兰州大学、中山大学、广东外语外贸大学等,221,3.78%,183,3.05%,158,2.65%,,,,,,,,,
2,山西,中北大学,中北大学,381,4.28%,中南大学、厦门大学、华南理工大学、兰州大学、中山大学、安徽大学等,537,6.26%,473,4.99%,,4.27%,,,,,,,,,
3,广西,广西大学,广西师范大学,274,9.35%,中山大学、华中科技大学、中南大学、同济大学、山东大学、苏州大学、厦门大学等,584,9.69%,,,510,7.3%,,5.9%,,,,,,,
4,浙江,温州医科大学,温州医科大学,346,10.37%,中国药科大学、北京协和医学院、华中科技大学、中南大学、同济大学、山东大学、苏州大学、南京医科大学等,478,17.21%,413,13.9%,356,11.42%,,5.9%,,,,,,,
5,贵州,贵州大学,贵州大学,824,9.4%,中南大学、厦门大学、兰州大学、华南理工大学、西南交通大学、东南大学、云南大学、中山大学等,736,8.24%,607,7.33%,516,6.67%,,5.6%,,,,,,,
6,河北,华北理工大学,华北理工大学,318,3.65%,北京理工大学、上海交通大学、中国科学院大学、兰州大学、中国矿业大学等,268,2.99%,156,2.6%,,,,,,,,,,,
7,北京,中央民族大学,,,18.6%,复旦大学、上海交通大学、北京大学、清华大学、北京理工大学、南京大学等,533,18.61%,,12.7%,367,15%,,,,15.3%,,,,,
8,广西,广西师范大学,广西中医药大学,82,3.28%,保研本校人数约为三分之二，其余同学选择保研外校，且基本为双一流高校。其中，保研外校中人数较多的是北京大学、厦门大学、华南理工大学、中南大学、兰州大学、上海外国语大学等国内双一流院校,267,3.99%,237,3.72%,237,3.65%,,3.71%,,,,,,,
9,山东,曲阜师范大学,曲阜师范大学,525,6.44%, ,490,6.05%,423,4.92%,360,4.23%,,3.8%,,,,,,,
10,吉林,延边大学,延边大学,576,11.83%, ,468,9.46%,453,9.52%,437,9.6%,,,,9.6%,,,,,
11,浙江,浙江工业大学,,,11.12%,浙江工业大学2024届本科生中有17名学生被保送到浙江工业大学，有两名学生被保送到北京大学，有两名学生被保送到中国科学院，除此之外还有学生被上海外国语大学，南开大学，华东政法大学，华北电力大学，华南理工大学等院校录取为硕士研究生,590,12.41%,575,12%,577,12.24%,,12.3%,,12.3%,,,,,
12,天津,天津工业大学,,,10%,据目前统计到的数据来看，2022届推免生中，有推免至复旦大学、厦门大学、四川大学、东南大学、北京外国语大学等头部院校的同学。其中，电子与信息工程学院有保研至复旦大学的，人文学院有推免至北京外国语大学英语学院的，化学工程与技术学院有保研至四川大学的，电气与电子工程学院有保研至天津大学的，经济与管理学院有保研至东南大学、重庆大学和中南财经政法大学的，机械工程学院有保研至国防科技大学的，控制科学与工程学院有保研至天津大学的,374,7%,323,6.09%,273,6.09%,,5.1%,,3.3%,,,,,
13,安徽,安徽农业大学,安徽农业大学,379,7.12%,据目前统计到的数据来看，有10名学生被安徽大学录取为2024年硕士研究生，有3名学生被保送到上海外国语大学读研，有2名学生被保送到南开大学，有3名学生被保送到中国科学院,348,6.42%,316,6.94%,289,5.74%,,5.5%,,5.1%,,,,,
14,安徽,安徽师范大学,安徽师范大学,579,7.33%,根据往年安徽师范大学保研去向统计，2023届保研公示名单434人，其中保研本校约81人。（仅供参考）保研外校约353人。其中，选择安徽大学、华东政法大学、上海外国语大学等高校的人较多,492,8.25%,434,7.62%,409,7.31%,,6.7%,,6%,,,,,
15,山东,青岛科技大学,青岛科技大学,323,3.97%,根据往年青岛科技大学保研去向统计，北京航空航天大学、北京科技大学、北京邮电大学等北京地区985、211高校是青岛科技大学保研学生的热门选择,375,5.29%,320,4.38%,267,3.91%,,3.5%,,,,,,,
16,广东,华南师范大学,,730,10.1%,华东师范大学、首都师范大学、南京师范大学、南京大学、北京师范大学、东北师范大学、陕西师范大学、四川大学、湖南大学等,640,9.09%,564,8.04%,527,8.4%,,7.9%,,7.8%,,,,,
17,江西,南昌大学,南昌大学,1402,16.2%,复旦大学、南京大学、中国人民大学、中山大学、华南理工大学、湖南大学、中南大学等,1291,16.62%,1331,16.77%,1331,16.06%,,15.3%,,14%,,,,,
18,安徽,安徽财经大学,安徽财经大学,270,6.1%,上海财经大学、中央财经大学、对外经济贸易大学、中南财经政法大学、西南财经大学、中国科学技术大学等,241,4.9%,206,4.31%,192,3.67%,,3.3%,,3.3%,,,,,
19,浙江,浙江师范大学,浙江师范大学,329,6.5%,华东师范大学、厦门大学、浙江大学、东北师范大学、南京师范大学、北京师范大学、南京大学等,345,7.05%,264,5.78%,,,,6%,,,,,,,
20,辽宁,中国医科大学,中国医科大学,312,14.63%,北京大学医学部、北京协和医学院、复旦大学、上海交大、南京大学医学院、苏州大学、华中科技大学、西安交大医学部、浙江大学医学院、中科大生命科学院等,300,16.84%,261,14.16%,,9.75%,,10.04%,,9.6%,,,,,
21,北京,北京航空航天大学,北京航空航天大学,1811,47.14%,清华大学、北京大学、中国科学技术大学、南京大学、复旦大学、上海交通大学等,1844,52%,1366,39.56%,1185,31.12%,,26.9%,,27.6%,,,,,
22,河南,河南师范大学,河南师范大学,727,6.7%,华东师范大学、南京大学、吉林大学、中国科学院大学、北京外国语大学、北京师范大学、上海外国语大学、首都师范大学等,642,8%,590,6.47%,522,6.33%,,5.8%,,5%,,,,,
23,辽宁,辽宁大学,辽宁大学,603,12.09%,"保研本校人数约为五分之一，其余同学选择保研外校，且基本为双一流高校。
其中，保研外校中人数较多的是西南财经大学、东北大学、吉林大学、山东大学、中国科学院大学、上海大学、厦门大学、南开大学、东北财经大学、南京大学和中国传媒大学等国内顶尖院校",631,13.3%,587,13.26%,571,13.25%,,12.71%,,11.3%,,,,,
24,北京,中国地质大学（北京）,中国地质大学(武汉),1073,22.37%,"保研本校人数约为二分之一，其余同学选择保研外校，且基本为双一流顶尖高校。
其中，保研外校中人数较多的是浙江大学、武汉大学、复旦大学、北京大学、华中科技大学、清华大学等国内顶尖院校",529,25.35%,511,25.6%,511,24.72%,,23.8%,,22.3%,,,,,
